Team Number,Advisor,Problem,Ranking,Institution ID
32080,Suopeng Zhang,A,Successful Participant,1
32081,Anjia Mao,A,Successful Participant,2
32082,Jie Zhou,B,Successful Participant,3
32084,Shuxiang Huang,A,Honorable Mention,4
32085,Lin Zhang,A,Successful Participant,5
32086,Hua Tian,A,Successful Participant,6
32087,Liuqiang Zhong,D,Successful Participant,7
32088,Chengdong Dong,A,Successful Participant,8
32089,Hongmei Zhao,B,Meritorious,9
32090,Zhenzhen Chen,B,Successful Participant,6
32091,Yuan Sun,C,Successful Participant,10
32092,Lin Zhang,A,Honorable Mention,5
32094,Jinying Tan,B,Successful Participant,11
32095,Ping He,A,Successful Participant,12
32096,Ming Ying Lisa Chu,A,Honorable Mention,13
32097,Jingjie Li,A,Successful Participant,14
32098,Andriy Bolyachevets,D,Successful Participant,15
32099,Hong Fang,D,Honorable Mention,11
32100,Luwei Ding,B,Successful Participant,11
32101,Zhi Li,A,Successful Participant,11
32102,Zhibin Pan,D,Finalist,11
32103,Yanling Xu,D,Meritorious,11
32104,Hong Fang,A,Successful Participant,11
32105,Zhi Li,A,Successful Participant,11
32106,Luwei Ding,C,Honorable Mention,11
32107,Feng Liu,A,Meritorious,11
32108,Yipin Zhao,D,Successful Participant,16
32109,Xin Long Ren,D,Meritorious,17
32110,Xuehai Hu,A,Successful Participant,11
32111,Jinying Tan,C,Honorable Mention,11
32112,Zhimin Hou,A,Honorable Mention,11
32113,Feng Liu,A,Successful Participant,11
32114,Haiyang Huang,A,Successful Participant,1
32115,Qicheng Xu,A,Successful Participant,18
32116,Qicheng Xu,A,Successful Participant,18
32118,Ping Sun,A,Successful Participant,18
32119,Zhengyu Li,A,Successful Participant,18
32120,Housheng Xu,A,Successful Participant,18
32121,Yanling Sun,A,Successful Participant,18
32122,Youlin Ye,A,Successful Participant,18
32123,Fusheng Kou,A,Successful Participant,18
32124,Xin Jing,A,Successful Participant,18
32125,Hongmei Yan,A,Successful Participant,18
32126,Changchun Sun,A,Successful Participant,18
32127,Dewayne R Derryberry,B,Successful Participant,19
32128,Dewayne R Derryberry,B,Successful Participant,19
32129,Qiang Zhu,B,Successful Participant,11
32130,Qiang Zhu,A,Honorable Mention,11
32131,Kai Xing,A,Honorable Mention,20
32132,Liuling Li,A,Successful Participant,9
32133,Chao Wang,B,Meritorious,9
32134,Wei Lin,C,Honorable Mention,21
32135,Xiaole Yue,C,Meritorious,21
32136,Xiao Huayong,C,Meritorious,21
32137,Xingwei Wang,B,Successful Participant,9
32138,Quanyi Lv,C,Honorable Mention,21
32139,Yong Wang,C,Honorable Mention,21
32140,Junqiang Han,C,Honorable Mention,21
32141,Lulu Pan,D,Meritorious,21
32142,Dongshuang Hou,D,Meritorious,21
32143,Genjiu Xu,D,Honorable Mention,21
32144,Youming Lei,D,Meritorious,21
32145,Ying Zhang,D,Meritorious,21
32146,Rong Ma,D,Finalist,21
32147,Li Wang,D,Meritorious,21
32148,Bingchang Zhou,C,Finalist,21
32149,Liang Wang,A,Honorable Mention,21
32150,Ligong Wang,A,Outstanding Winner,21
32151,Weidong Yan,A,Honorable Mention,21
32152,Xuewei Cui,D,Meritorious,21
32153,Xiaohong An,A,Honorable Mention,21
32154,Mei Yu,B,Meritorious,21
32155,Yaning Tang,A,Successful Participant,21
32156,Xiaodong Wang,A,Honorable Mention,21
32157,Junfeng Zhao,B,Successful Participant,21
32158,Hongwei She,B,Successful Participant,21
32159,Zhenhai Wang,A,Successful Participant,21
32160,Haibo Wu,B,Honorable Mention,21
32161,Xiaoyin Wang,A,Successful Participant,11
32162,Yanling Xu,A,Successful Participant,11
32163,Xin Long Ren,B,Honorable Mention,17
32164,Xiaoyin Wang,D,Honorable Mention,11
32165,Zhimin Hou,B,Successful Participant,11
32166,Wenhao Zhang,A,Successful Participant,22
32167,Xiaolong Jiang,A,Successful Participant,5
32169,Baocai Zhang,A,Successful Participant,23
32170,Baocai Zhang,A,Successful Participant,23
32171,Meisong Tong,B,Successful Participant,22
32172,Hengxing Liu,D,Meritorious,24
32173,Zhibin Pan,D,Successful Participant,11
32174,Lingli Sun,D,Meritorious,11
32175,Zhijie Cai,A,Successful Participant,25
32176,Zhijie Cai,B,Successful Participant,25
32177,Yuan Cao,A,Successful Participant,25
32178,Qing-Kui Li,B,Successful Participant,26
32179,Yanhui Guan,C,Meritorious,5
32180,Zhenyu Zhang,B,Successful Participant,8
32181,Zuoqing Chen,A,Honorable Mention,27
32182,Zhou Hongjun,A,Honorable Mention,28
32183,Shaowen Li,C,Honorable Mention,16
32185,Guocan Feng,D,Honorable Mention,5
32186,Lihui Xu,A,Successful Participant,18
32187,Huanliang Sun,A,Successful Participant,18
32188,Yanli Gu,A,Successful Participant,18
32189,Jingke Xu,A,Successful Participant,18
32190,Jianping Sun,A,Successful Participant,18
32191,Jianchao Wang,A,Successful Participant,18
32192,Fusheng Kou,A,Successful Participant,18
32193,Li Cong,A,Successful Participant,18
32195,Yanhui Guan,A,Successful Participant,5
32196,Liuqiang Zhong,D,Honorable Mention,29
32197,Fei Wang,A,Meritorious,30
32198,Yan Qin,A,Honorable Mention,31
32199,Haonan Zhu,A,Successful Participant,32
32200,Haonan Zhu,B,Honorable Mention,32
32201,Yanhong Liu,B,Meritorious,18
32202,Yang Yu,A,Successful Participant,18
32203,Qicheng Xu,A,Successful Participant,18
32204,Zhenxin Lei,B,Successful Participant,18
32205,Junling Liu,A,Successful Participant,18
32206,Nan Wu,A,Successful Participant,18
32209,Qicheng Xu,A,Successful Participant,18
32210,Qicheng Xu,A,Successful Participant,18
32211,Beibei Yin,A,Meritorious,33
32212,Yang Li,D,Honorable Mention,34
32213,Qinghua Wang,B,Successful Participant,35
32214,Sumin Hao,A,Successful Participant,36
32215,Fanqiu Kong,A,Honorable Mention,37
32216,Fanqiu Kong,A,Honorable Mention,37
32217,Fanqiu Kong,A,Honorable Mention,37
32218,Dai Dai,B,Meritorious,16
32219,Yue Li,A,Honorable Mention,9
32220,Yingqi Tao,A,Successful Participant,38
32221,Xuan Guang,B,Successful Participant,9
32222,Wei Xu,C,Meritorious,39
32223,Kunping Zhu,A,Successful Participant,31
32224,Liang Liang Ma,B,Successful Participant,40
32225,Shaowen Li,A,Successful Participant,16
32226,Dong Zijing,A,Successful Participant,41
32227,Dong Zijing,D,Meritorious,41
32228,Dong Zijing,B,Honorable Mention,41
32229,Dong Zijing,A,Honorable Mention,41
32230,Dong Zijing,D,Honorable Mention,41
32231,Dong Zijing,B,Meritorious,41
32232,Dong Zijing,A,Honorable Mention,41
32233,Dong Zijing,A,Honorable Mention,41
32234,Dong Zijing,B,Honorable Mention,41
32235,Dong Zijing,B,Honorable Mention,41
32236,Shao Linlin,A,Successful Participant,41
32237,Shao Linlin,A,Successful Participant,41
32238,Shao Linlin,C,Meritorious,41
